Gene1	Gene2	pcor	q_value
17	18	0.591261446256876	0.000731761725342734
13	14	0.53566149971622	0.00381061924094168
11	12	0.500564997220752	0.00913025692050871
16	17	0.499355794904118	0.00951475248835219
15	16	0.490572031829389	0.0127738523683918
14	15	0.483433160862037	0.0161227347203151
9	10	0.482722690875597	0.016495374325461
10	11	0.465395062113433	0.0282820171766351
12	13	0.4602971758481	0.0329222789943603
4	5	0.454597185380668	0.0388748511692
6	7	0.440461791367382	0.0577082647250626
7	8	0.427855060697717	0.0803501729341548
5	6	0.422662882247688	0.0915256659582283
3	4	0.40491843963589	0.138854943576003
8	9	0.399920468594932	0.15487708748965
2	3	0.171408528063267	0.920351112461823
13	16	0.151236937792	0.935895471568974
1	18	-0.148356569125304	0.93778543514631
16	18	-0.10972335145737	0.957211478639926
6	8	0.0936844276111085	0.96281616803961
6	13	0.0878283593953186	0.964596573214452
2	15	0.0878056219168613	0.964603236472404
4	16	0.0821029217518707	0.966216674875713
4	15	-0.0795332271132671	0.96690752661552
7	10	0.0786997987253583	0.967126963582348
1	5	0.0760708711590245	0.967804704106563
8	14	0.0744922424183597	0.968201379595109
9	17	0.0731288663885481	0.968537905840195
14	16	-0.0700865500555169	0.969269142681645
7	18	-0.0696881591769746	0.969362926352707
12	16	-0.0690752101446453	0.96950634302004
6	17	-0.0682487450904753	0.969698051942118
5	15	0.0657517067365709	0.970265855582577
8	17	-0.0643515338698428	0.970576894620031
1	17	0.0632110241137543	0.970826437464634
1	6	-0.0627856987904906	0.970918633496781
2	13	0.0609730609695295	0.971306362820266
1	2	0.0607508457060664	0.971353323396283
7	17	0.0606434817845428	0.971375968194902
3	16	-0.0601236369204343	0.971485204977307
1	12	0.059911893069245	0.971529506813154
13	17	-0.0585617894043104	0.971809382764334
9	18	-0.056147363485554	0.9722988915386
8	10	0.0556810675437096	0.972391834569538
8	18	0.0553724901789164	0.972453060849963
12	17	0.0548119984423439	0.97256370366369
1	13	-0.0537080712024224	0.972779502292131
1	10	-0.053216349032026	0.972874728748399
2	16	-0.0531736100900409	0.972882979615648
5	12	0.0522939220542251	0.973051890838939
5	16	-0.0520715237752515	0.973094319162213
10	18	0.0516020362514588	0.973183524384176
8	13	-0.051399305830289	0.973221893061784
1	11	0.0512227096590872	0.97325524152712
15	17	0.0498652798011052	0.973509294448411
10	13	0.049751645164183	0.973530379936865
5	7	0.048746511370176	0.973715676187817
6	10	-0.0472792596707575	0.97398229975816
2	12	-0.0469304937202907	0.974045009882707
6	14	-0.0466663100615697	0.974092342811053
3	8	0.046228538612204	0.974170458013909
7	15	-0.044002666494427	0.974561564419258
3	5	0.0436717293320445	0.974618857496418
4	8	-0.0434334062651334	0.974659981347404
12	15	-0.0428733794784299	0.974756172355202
9	14	-0.0419031708223641	0.974921352239889
2	9	0.0414479426692807	0.974998221088342
4	14	0.0410601883424876	0.97506337928217
6	11	0.0407017388532589	0.975123354904658
2	4	0.0398525424574916	0.975264458990716
12	14	0.0378245035612134	0.975595925590691
11	15	0.0375749905534667	0.975636176471207
6	18	0.0374839384609146	0.975650836164792
1	16	-0.0371066166416021	0.975711423604288
3	17	0.0369621959788996	0.975734544401917
3	7	-0.0365729692346284	0.975796667133897
4	7	0.034324335733043	0.976150202505242
2	7	0.0337117223658759	0.97624495731114
4	10	0.0325357653552125	0.976425004455216
1	3	-0.0324459328471544	0.976438659658563
5	8	0.0318146448190116	0.976534227839123
7	13	-0.0317714292608744	0.976540745035851
2	10	-0.0316830607606151	0.976554061645727
10	17	-0.0314666392857798	0.976586618696455
11	13	-0.0311930579207369	0.976627660205297
10	14	-0.0305917861421793	0.97671741397717
13	15	-0.0297421653388374	0.976843201008091
4	11	-0.0293206907576578	0.976905152856278
5	11	-0.0291821593789339	0.97692545089629
5	10	-0.0284617152239087	0.977030501179465
6	12	-0.0277592046814222	0.977132115881151
7	16	0.0269916478138414	0.977242221471369
3	6	0.025040062771215	0.977517920974196
5	13	-0.0249800775525156	0.977526299451284
3	18	-0.0245872896811838	0.977581022880461
3	13	-0.0229245007042085	0.977810026422877
4	6	0.0227456742193726	0.977834401232097
3	11	0.0225789790253647	0.977857078509814
1	7	0.0219858070369347	0.977937430992389
12	18	-0.0217090040776162	0.977974744990703
8	11	0.0214769586015068	0.978005936508249
7	12	-0.0213097831111959	0.978028358039328
5	18	0.0209063562526396	0.978082293065061
5	17	0.0207380848283442	0.97810471778667
11	16	0.0194358997369308	0.978276834606219
2	14	-0.0193200571843431	0.978292025200246
11	17	-0.0185809186877399	0.97838848835243
9	12	0.0183404113372157	0.978419705244802
3	9	0.0182341184762939	0.978433474979587
2	11	0.0175461545997146	0.978522204031795
